cid,city,prov,region,year,resilience_index,resilience_std
430600,岳阳市,湖南省,中部,2018,-0.5046015106981898,-0.31283505907478726
430600,岳阳市,湖南省,中部,2019,-1.1770985818713935,-0.7292975554408259
430600,岳阳市,湖南省,中部,2020,-0.9790527017343451,-0.6066521415463142
430600,岳阳市,湖南省,中部,2021,-0.8335298051870914,-0.5165330445683035
430600,岳阳市,湖南省,中部,2022,-0.31604235644739287,-0.19606456376993744
430600,岳阳市,湖南省,中部,2023,0.1353447416133806,0.08346943830067569
430700,常德市,湖南省,中部,2016,-0.6130741339469795,-0.38000974488680744
430700,常德市,湖南省,中部,2017,-0.39034118191731204,-0.2420761758031113
430700,常德市,湖南省,中部,2018,-1.095686767173546,-0.6788810271969093
430700,常德市,湖南省,中部,2019,-0.7161024467332667,-0.4438128901770972
430700,常德市,湖南省,中部,2020,-0.507834541246831,-0.3148372030703973
430700,常德市,湖南省,中部,2021,-0.7952516926343799,-0.49282825982913453
430700,常德市,湖南省,中部,2022,-0.22886542539455454,-0.14207782704191327
430700,常德市,湖南省,中部,2023,0.2013068944034928,0.12431833414601241
430800,张家界市,湖南省,中部,2016,-0.9664171761842664,-0.5988272412767822
430800,张家界市,湖南省,中部,2017,-0.8074453188935005,-0.5003795016847588
430800,张家界市,湖南省,中部,2018,0.15924219695152175,0.09826860149934323
430800,张家界市,湖南省,中部,2019,0.618130575653694,0.3824479800270006
430800,张家界市,湖南省,中部,2020,1.153143843829728,0.7137698114586766
430800,张家界市,湖南省,中部,2021,-0.07215276438095101,-0.04502915751532002
430800,张家界市,湖南省,中部,2022,0.41555860645457565,0.25699965972536315
430800,张家界市,湖南省,中部,2023,0.1505129762719964,0.09286278905590306
430900,益阳市,湖南省,中部,2016,-0.5314323015453499,-0.32945077178888094
430900,益阳市,湖南省,中部,2017,-0.6255325371684718,-0.38772495723309447
430900,益阳市,湖南省,中部,2018,-0.6489782777600146,-0.402244383524231
430900,益阳市,湖南省,中部,2019,0.10184733318349468,0.06272523741937534
430900,益阳市,湖南省,中部,2020,-0.85865984915703,-0.5320955225241569
430900,益阳市,湖南省,中部,2021,-0.9263031353569207,-0.573985506943068
430900,益阳市,湖南省,中部,2022,-0.20728904352943028,-0.12871605308144013
430900,益阳市,湖南省,中部,2023,0.21698491193848965,0.1340273821115368
431000,郴州市,湖南省,中部,2016,-0.37141203439725545,-0.2303537752630896
431000,郴州市,湖南省,中部,2017,1.1216650780969681,0.6942757111546911
431000,郴州市,湖南省,中部,2018,0.34474323163451404,0.21314527129329244
